WEEK,COUNTY,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,COUNTY_POPULATION,COUNTY_RAW_DENSITY,COUNTY_AREA_KM2,COUNTY_WEIGHTED_DENSITY,COUNTY_URBAN_CORE_DENSITY,IS_ELECTION_YEAR,LOG_COUNTY_POPULATION,LOG_COUNTY_RAW_DENSITY,EVENTS_ROLLING_4W
2024-05-18,Muranga,Protests,Peaceful protest,1,0,3100,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,6
2024-05-18,Muranga,Riots,Violent demonstration,1,0,10551,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-06-22,Muranga,Riots,Violent demonstration,1,1,26936,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-06-29,Muranga,Protests,Peaceful protest,1,0,728,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-06-29,Muranga,Riots,Mob violence,1,0,23638,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-07-06,Muranga,Riots,Mob violence,2,1,14742,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-07-13,Muranga,Protests,Peaceful protest,1,0,3100,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-07-13,Muranga,Riots,Mob violence,1,1,7551,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-08-03,Muranga,Protests,Peaceful protest,1,0,1058,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-08-10,Muranga,Protests,Peaceful protest,1,0,2385,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-08-10,Muranga,Violence against civilians,Abduction/forced disappearance,1,0,8013,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-08-17,Muranga,Protests,Peaceful protest,1,0,2072,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-08-17,Muranga,Protests,Protest with intervention,1,0,2385,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-08-17,Muranga,Riots,Violent demonstration,1,0,7965,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-08-24,Muranga,Protests,Peaceful protest,1,0,8602,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-09-07,Muranga,Protests,Peaceful protest,1,0,2336,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-09-07,Muranga,Protests,Protest with intervention,1,0,2385,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-09-07,Muranga,Riots,Mob violence,2,1,34597,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-09-14,Muranga,Protests,Peaceful protest,1,0,822,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-09-14,Muranga,Riots,Violent demonstration,1,0,7502,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-09-28,Muranga,Protests,Peaceful protest,2,0,8602,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-10-12,Muranga,Strategic developments,Change to group/activity,1,0,0,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,6
2024-11-02,Muranga,Protests,Peaceful protest,2,0,8366,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-11-02,Muranga,Riots,Mob violence,1,1,10850,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,6
2024-11-16,Muranga,Protests,Peaceful protest,1,0,10629,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,6
2024-11-16,Muranga,Violence against civilians,Attack,1,0,23638,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-11-23,Muranga,Riots,Mob violence,1,0,7175,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-12-14,Muranga,Riots,Mob violence,2,1,18679,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,4
2024-12-21,Muranga,Protests,Peaceful protest,1,0,10629,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-12-21,Muranga,Violence against civilians,Abduction/forced disappearance,1,0,26936,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
2024-12-28,Muranga,Protests,Peaceful protest,1,0,3160,-0.8302,37.0029,2024,1201404.1014675938,475.3255321997392,2757.477198044666,677.6961684702272,15854.184752565321,0,13.999002347658196,6.166101511660338,5
